"시점",계,비임금근로자,*자영업자,-고용원이 있는 자영업자,-고용원이 없는 자영업자,-무급가족종사자,임금근로자,-상용근로자,-임시근로자,-일용근로자
"2000",21173,7817,5876,1455,4421,1941,13356,6397,4602,2357
"2001",21614,7955,6071,1548,4523,1884,13659,6717,4722,2220
"2002",22232,8026,6212,1614,4598,1814,14206,6879,4891,2436
"2003",22222,7773,6066,1630,4436,1707,14449,7301,5015,2133
"2004",22682,7746,6161,1677,4484,1585,14936,7651,5092,2194
"2005",22831,7645,6141,1656,4486,1503,15186,7923,5059,2205
"2006",23188,7580,6109,1630,4479,1471,15608,8248,5163,2197
"2007",23561,7467,6048,1567,4481,1419,16095,8715,5202,2178
"2008",23775,7418,6005,1538,4467,1413,16357,9105,5122,2130
"2009",23688,7102,5749,1532,4217,1352,16586,9479,5134,1973
"2010",24033,6922,5643,1515,4127,1279,17111,10178,5107,1826
"2011",24527,6930,5657,1526,4132,1273,17596,10786,5045,1765
"2012",24955,7034,5768,1570,4199,1266,17921,11250,5032,1639
"2013",25299,6934,5703,1533,4169,1232,18365,11847,4919,1600
"2014",25897,6939,5720,1581,4139,1219,18959,12319,5069,1570
"2015",26178,6776,5622,1609,4013,1153,19402,12716,5114,1572
"2016",26409,6740,5614,1584,4030,1126,19669,13062,5124,1483
"2017",26725,6791,5682,1608,4074,1110,19934,13428,4992,1514
"2018",26822,6739,5638,1651,3987,1101,20084,13772,4851,1460
"2019",27123,6683,5606,1538,4068,1077,20440,14216,4795,1429
"2020",26904,6573,5531,1372,4159,1042,20332,14521,4483,1328
"2021",27273,6520,5513,1307,4206,1007,20753,14887,4634,1231
