연도,지출코드,지출목적,소비자물가지수,소득계층,가구형태,가계지출
2012,1,식료품 및 비주류음료,85.626,전체,전체가구,309755.0
2012,1,식료품 및 비주류음료,85.626,100만원 미만,전체가구,168549.0
2012,1,식료품 및 비주류음료,85.626,100~200만원 미만,전체가구,227650.0
2012,1,식료품 및 비주류음료,85.626,200~300만원 미만,전체가구,283317.0
2012,1,식료품 및 비주류음료,85.626,300~400만원 미만,전체가구,331844.0
2012,1,식료품 및 비주류음료,85.626,400~500만원 미만,전체가구,361775.0
2012,1,식료품 및 비주류음료,85.626,500~600만원 미만,전체가구,394718.0
2012,1,식료품 및 비주류음료,85.626,600만원이상 ~ 700미만,전체가구,443218.0
2012,1,식료품 및 비주류음료,85.626,전체,근로자가구,321826.0
2012,1,식료품 및 비주류음료,85.626,100만원 미만,근로자가구,153392.0
2012,1,식료품 및 비주류음료,85.626,100~200만원 미만,근로자가구,210262.0
2012,1,식료품 및 비주류음료,85.626,200~300만원 미만,근로자가구,268141.0
2012,1,식료품 및 비주류음료,85.626,300~400만원 미만,근로자가구,322266.0
2012,1,식료품 및 비주류음료,85.626,400~500만원 미만,근로자가구,349970.0
2012,1,식료품 및 비주류음료,85.626,500~600만원 미만,근로자가구,392563.0
2012,1,식료품 및 비주류음료,85.626,600만원이상 ~ 700미만,근로자가구,444390.0
2012,1,식료품 및 비주류음료,85.626,전체,근로자외가구,292720.0
2012,1,식료품 및 비주류음료,85.626,100만원 미만,근로자외가구,172397.0
2012,1,식료품 및 비주류음료,85.626,100~200만원 미만,근로자외가구,246579.0
2012,1,식료품 및 비주류음료,85.626,200~300만원 미만,근로자외가구,309210.0
2012,1,식료품 및 비주류음료,85.626,300~400만원 미만,근로자외가구,349151.0
2012,1,식료품 및 비주류음료,85.626,400~500만원 미만,근로자외가구,385198.0
2012,1,식료품 및 비주류음료,85.626,500~600만원 미만,근로자외가구,400869.0
2012,1,식료품 및 비주류음료,85.626,600만원이상 ~ 700미만,근로자외가구,440024.0
2013,1,식료품 및 비주류음료,86.36,전체,전체가구,308622.0
2013,1,식료품 및 비주류음료,86.36,100만원 미만,전체가구,167367.0
2013,1,식료품 및 비주류음료,86.36,100~200만원 미만,전체가구,221399.0
2013,1,식료품 및 비주류음료,86.36,200~300만원 미만,전체가구,280458.0
2013,1,식료품 및 비주류음료,86.36,300~400만원 미만,전체가구,323608.0
2013,1,식료품 및 비주류음료,86.36,400~500만원 미만,전체가구,367902.0
2013,1,식료품 및 비주류음료,86.36,500~600만원 미만,전체가구,387289.0
2013,1,식료품 및 비주류음료,86.36,600만원이상 ~ 700미만,전체가구,436969.0
2013,1,식료품 및 비주류음료,86.36,전체,근로자가구,324226.0
2013,1,식료품 및 비주류음료,86.36,100만원 미만,근로자가구,156766.0
2013,1,식료품 및 비주류음료,86.36,100~200만원 미만,근로자가구,204803.0
2013,1,식료품 및 비주류음료,86.36,200~300만원 미만,근로자가구,263645.0
2013,1,식료품 및 비주류음료,86.36,300~400만원 미만,근로자가구,315885.0
2013,1,식료품 및 비주류음료,86.36,400~500만원 미만,근로자가구,364217.0
2013,1,식료품 및 비주류음료,86.36,500~600만원 미만,근로자가구,384696.0
2013,1,식료품 및 비주류음료,86.36,600만원이상 ~ 700미만,근로자가구,436700.0
2013,1,식료품 및 비주류음료,86.36,전체,근로자외가구,286576.0
2013,1,식료품 및 비주류음료,86.36,100만원 미만,근로자외가구,169745.0
2013,1,식료품 및 비주류음료,86.36,100~200만원 미만,근로자외가구,237941.0
2013,1,식료품 및 비주류음료,86.36,200~300만원 미만,근로자외가구,308693.0
2013,1,식료품 및 비주류음료,86.36,300~400만원 미만,근로자외가구,337110.0
2013,1,식료품 및 비주류음료,86.36,400~500만원 미만,근로자외가구,375622.0
2013,1,식료품 및 비주류음료,86.36,500~600만원 미만,근로자외가구,394657.0
2013,1,식료품 및 비주류음료,86.36,600만원이상 ~ 700미만,근로자외가구,437799.0
2014,1,식료품 및 비주류음료,86.612,전체,전체가구,308520.0
2014,1,식료품 및 비주류음료,86.612,100만원 미만,전체가구,163117.0
2014,1,식료품 및 비주류음료,86.612,100~200만원 미만,전체가구,223441.0
2014,1,식료품 및 비주류음료,86.612,200~300만원 미만,전체가구,279056.0
2014,1,식료품 및 비주류음료,86.612,300~400만원 미만,전체가구,323326.0
2014,1,식료품 및 비주류음료,86.612,400~500만원 미만,전체가구,362071.0
2014,1,식료품 및 비주류음료,86.612,500~600만원 미만,전체가구,389540.0
2014,1,식료품 및 비주류음료,86.612,600만원이상 ~ 700미만,전체가구,434590.0
2014,1,식료품 및 비주류음료,86.612,전체,근로자가구,325878.0
2014,1,식료품 및 비주류음료,86.612,100만원 미만,근로자가구,150227.0
2014,1,식료품 및 비주류음료,86.612,100~200만원 미만,근로자가구,206888.0
2014,1,식료품 및 비주류음료,86.612,200~300만원 미만,근로자가구,270371.0
2014,1,식료품 및 비주류음료,86.612,300~400만원 미만,근로자가구,314616.0
2014,1,식료품 및 비주류음료,86.612,400~500만원 미만,근로자가구,358370.0
2014,1,식료품 및 비주류음료,86.612,500~600만원 미만,근로자가구,385698.0
2014,1,식료품 및 비주류음료,86.612,600만원이상 ~ 700미만,근로자가구,432792.0
2014,1,식료품 및 비주류음료,86.612,전체,근로자외가구,283941.0
2014,1,식료품 및 비주류음료,86.612,100만원 미만,근로자외가구,166075.0
2014,1,식료품 및 비주류음료,86.612,100~200만원 미만,근로자외가구,239245.0
2014,1,식료품 및 비주류음료,86.612,200~300만원 미만,근로자외가구,293845.0
2014,1,식료품 및 비주류음료,86.612,300~400만원 미만,근로자외가구,338341.0
2014,1,식료품 및 비주류음료,86.612,400~500만원 미만,근로자외가구,370214.0
2014,1,식료품 및 비주류음료,86.612,500~600만원 미만,근로자외가구,400136.0
