,연도,지출코드,지출목적_x,소비자물가지수,소득계층,가구형태,지출목적_y,가계지출
2889,2012,12,기타 상품 및 서비스,84.908,100만원 미만,근로자가구,기타상품 및 서비스,41721.0
2890,2012,12,기타 상품 및 서비스,84.908,100~200만원 미만,근로자가구,기타상품 및 서비스,91974.0
2891,2012,12,기타 상품 및 서비스,84.908,200~300만원 미만,근로자가구,기타상품 및 서비스,158875.0
2892,2012,12,기타 상품 및 서비스,84.908,300~400만원 미만,근로자가구,기타상품 및 서비스,203941.0
2893,2012,12,기타 상품 및 서비스,84.908,400~500만원 미만,근로자가구,기타상품 및 서비스,239507.0
2894,2012,12,기타 상품 및 서비스,84.908,500~600만원 미만,근로자가구,기타상품 및 서비스,260976.0
2895,2012,12,기타 상품 및 서비스,84.908,600만원이상 ~ 700미만,근로자가구,기타상품 및 서비스,339948.0
2913,2013,12,기타 상품 및 서비스,85.302,100만원 미만,근로자가구,기타상품 및 서비스,39861.0
2914,2013,12,기타 상품 및 서비스,85.302,100~200만원 미만,근로자가구,기타상품 및 서비스,79431.0
2915,2013,12,기타 상품 및 서비스,85.302,200~300만원 미만,근로자가구,기타상품 및 서비스,129733.0
2916,2013,12,기타 상품 및 서비스,85.302,300~400만원 미만,근로자가구,기타상품 및 서비스,183883.0
2917,2013,12,기타 상품 및 서비스,85.302,400~500만원 미만,근로자가구,기타상품 및 서비스,211929.0
2918,2013,12,기타 상품 및 서비스,85.302,500~600만원 미만,근로자가구,기타상품 및 서비스,252949.0
2919,2013,12,기타 상품 및 서비스,85.302,600만원이상 ~ 700미만,근로자가구,기타상품 및 서비스,339822.0
2937,2014,12,기타 상품 및 서비스,87.932,100만원 미만,근로자가구,기타상품 및 서비스,38169.0
2938,2014,12,기타 상품 및 서비스,87.932,100~200만원 미만,근로자가구,기타상품 및 서비스,83441.0
2939,2014,12,기타 상품 및 서비스,87.932,200~300만원 미만,근로자가구,기타상품 및 서비스,134793.0
2940,2014,12,기타 상품 및 서비스,87.932,300~400만원 미만,근로자가구,기타상품 및 서비스,197432.0
2941,2014,12,기타 상품 및 서비스,87.932,400~500만원 미만,근로자가구,기타상품 및 서비스,230431.0
2942,2014,12,기타 상품 및 서비스,87.932,500~600만원 미만,근로자가구,기타상품 및 서비스,260820.0
