2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82562.0,85858.0,90116.0,88899.0,92344.0,112030.0,117115.0,115323.0,126729.0,130028.0
232391.0,227572.0,224714.0,219700.0,213664.0,188343.0,173372.0,204775.0,159087.0,181528.0
260489.0,264986.0,282265.0,271141.0,254670.0,369150.0,348808.0,295974.0,288848.0,286749.0
190405.0,177087.0,186860.0,185922.0,186324.0,201712.0,192282.0,206182.0,203873.0,205836.0
144144.0,147681.0,150261.0,154842.0,157129.0,181796.0,191120.0,202279.0,220558.0,226410.0
309755.0,308622.0,308520.0,306744.0,300750.0,360273.0,366672.0,332558.0,381056.0,397154.0
118631.0,121720.0,126351.0,128260.0,129494.0,174693.0,191772.0,180301.0,139539.0,142607.0
272995.0,278514.0,288697.0,288622.0,290609.0,354158.0,349699.0,345710.0,319220.0,337707.0
145241.0,146240.0,144702.0,137047.0,133649.0,159018.0,152206.0,138180.0,118085.0,125742.0
242739.0,251634.0,251406.0,259283.0,256319.0,282999.0,285461.0,276589.0,285822.0,298238.0
25760.0,25515.0,25099.0,29250.0,30582.0,34813.0,35028.0,35802.0,37531.0,39040.0
131575.0,131192.0,127344.0,123291.0,119554.0,137838.0,134107.0,123006.0,119775.0,123815.0
