연도,지출품목별,지출코드,지출목적,소비자물가지수,소득계층,가구형태,가계지출
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,전체,전체가구,309755.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,100만원 미만,전체가구,168549.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,100~200만원 미만,전체가구,227650.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,200~300만원 미만,전체가구,283317.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,300~400만원 미만,전체가구,331844.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,400~500만원 미만,전체가구,361775.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,500~600만원 미만,전체가구,394718.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,600만원이상 ~ 700미만,전체가구,443218.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,전체,근로자가구,321826.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,100만원 미만,근로자가구,153392.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,100~200만원 미만,근로자가구,210262.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,200~300만원 미만,근로자가구,268141.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,300~400만원 미만,근로자가구,322266.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,400~500만원 미만,근로자가구,349970.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,500~600만원 미만,근로자가구,392563.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,600만원이상 ~ 700미만,근로자가구,444390.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,전체,근로자외가구,292720.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,100만원 미만,근로자외가구,172397.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,100~200만원 미만,근로자외가구,246579.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,200~300만원 미만,근로자외가구,309210.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,300~400만원 미만,근로자외가구,349151.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,400~500만원 미만,근로자외가구,385198.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,500~600만원 미만,근로자외가구,400869.0
2012,01 식료품 및 비주류음료,1,식료품 및 비주류음료,85.626,600만원이상 ~ 700미만,근로자외가구,440024.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,전체,전체가구,308622.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,100만원 미만,전체가구,167367.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,100~200만원 미만,전체가구,221399.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,200~300만원 미만,전체가구,280458.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,300~400만원 미만,전체가구,323608.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,400~500만원 미만,전체가구,367902.0
